elder_name,youth_name,elder_district,youth_district,elder_zone,youth_zone,distance_km,used_global_fallback
Ho Ming Yuet,Yip Ho Yin,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.12579247457090076,False
Lau Yat Fung,Chan Man Yi,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.08084333937216062,False
Leung Yat Fung,Chan Sze Wing,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.11243595842034174,False
Lee Kwok Wai,Ng Ka Ming,Yau Tsim Mong - Yau Ma Tei,Yau Tsim Mong - Yau Ma Tei,5,5,0.0741201492035308,False
Lau Ming Yuet,Lam Ka Ching,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.04715221104752555,False
Ng Yee Kwan,Lam Ka Ching,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Diamond Hill,5,5,0.061556084976116435,False
Ho Yat Fung,Lee Ka Ching,Yau Tsim Mong - Yau Ma Tei,Kowloon City - Ho Man Tin,5,5,0.06794045018353247,False
Wong Kin Man,Lau Ka Ching,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.04798759820812964,False
Leung Mei Lin,Yip Tsz Wai,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.03745909923713238,False
Tang Yee Kwan,Lau Wing Sze,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Wong Tai Sin,5,5,0.044672574662350834,False
Leung Wing Chiu,Lam Pak Hei,Yau Tsim Mong - Mong Kok,Sham Shui Po - Sham Shui Po,5,5,0.025131273567576412,False
Lee Mei Lin,Lee Kwok Him,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.015351002961256854,False
Lau Chi Keung,Lau Yuk Ting,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.0,False
Yip Ming Yuet,Yip Wai Man,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.11155478383691099,False
Chow Chi Keung,Ng Yiu Tung,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.02874156774574792,False
Ho Yat Fung,Lam Man Yi,Kowloon City - Ho Man Tin,Yau Tsim Mong - Yau Ma Tei,5,5,0.0373846406718568,False
Yip Siu Fong,Chan Tsz Ho,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.0424881301798755,False
Chan Hoi Yan,Ng Pak Hei,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Yau Ma Tei,5,5,0.05017504330579227,False
Chan Sze Man,Chan Ka Ching,Kowloon City - Kowloon Tong,Kowloon City - Kowloon Tong,5,5,0.0,False
Tang Sze Man,Wong Wai Man,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Cheung Sha Wan,5,5,0.02380374764850993,False
Yip Pak Kuen,Lam Ho Yin,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.09242711224135602,False
Chan Ka Yan,Lee Kwok Him,Wong Tai Sin - Lok Fu,Wong Tai Sin - Wong Tai Sin,5,5,0.014426363499490513,False
Ng Siu Lan,Cheung Wing Sze,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.08239214145185515,False
Ho Yuk Lan,Wong Yuk Ting,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.24582057740977423,False
Ho Ka Yan,Cheung Yuk Ting,Kowloon City - Ho Man Tin,Yau Tsim Mong - Mong Kok,5,5,0.08399829498518577,False
Ng Sze Man,Wong Ka Ching,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.06532148558592928,False
Lau Kin Man,Cheung Lok Yin,Wong Tai Sin - Lok Fu,Wong Tai Sin - Wong Tai Sin,5,5,0.05702802566563779,False
Ho Kam Ming,Leung Yan Ting,Yau Tsim Mong - Yau Ma Tei,Yau Tsim Mong - Yau Ma Tei,5,5,0.10729043720800863,False
Yip Siu Lan,Cheung Tsz Wai,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.019241147587360966,False
Lee Wai Ling,Chan Yuk Ting,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.04208094539157428,False
Lau Kin Man,Lee Wai Man,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.037044293329960835,False
Cheung Hoi Yan,Ho Kwok Him,Wong Tai Sin - Lok Fu,Wong Tai Sin - Chuk Yuen,5,5,0.03257019696389619,False
Lam Yat Fung,Ng Sze Wing,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.0511760997675588,False
Lam Siu Lan,Tang Ka Ching,Kowloon City - Ho Man Tin,Kowloon City - Ho Man Tin,5,5,0.06724033208501641,False
Chan Ming Yuet,Cheung Ka Ching,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.12588800070317632,False
Chan Ka Yan,Chow Hiu Lam,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.0724930899942182,False
Lam Kam Ming,Tang Wing Sze,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.028182252721086595,False
Yip Wai Ling,Wong Siu Tung,Yau Tsim Mong - Yau Ma Tei,Yau Tsim Mong - Yau Ma Tei,5,5,0.16943687687600842,False
Wong Chi Keung,Wong Ho Yin,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Cheung Sha Wan,5,5,0.07629237808429863,False
Ng Chun Wah,Ng Siu Tung,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.0,False
Yip Yuk Lan,Wong Pak Hei,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.008226612348381967,False
Tang Kam Ming,Leung Lok Yin,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.03243678806495112,False
Ng Yee Kwan,Ng Sze Wing,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Chuk Yuen,5,5,0.0644038229449447,False
Leung Siu Lan,Cheung Yuk Ting,Kowloon City - Ho Man Tin,Yau Tsim Mong - Mong Kok,5,5,0.026248937558109656,False
Yip Chi Keung,Lau Siu Tung,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.1249983678191141,False
Cheung Chun Wah,Leung Kwok Him,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Cheung Sha Wan,5,5,0.05319104782126776,False
Lee Yee Kwan,Tang Sze Wing,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.026814664406260437,False
Ho Tak Ming,Lau Tsz Wai,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Diamond Hill,5,5,0.05035214334231188,False
Lam Kwok Wai,Chan Ka Ming,Kowloon City - Kowloon Tong,Kowloon City - Kowloon Tong,5,5,0.20131182766126868,False
Leung Wai Ling,Tang Ka Ching,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Chuk Yuen,5,5,0.013514476029214071,False
Tang Lai Kwan,Lau Pak Hei,Kowloon City - Kowloon Tong,Wong Tai Sin - Lok Fu,5,5,0.061580088802046344,False
Lau Kin Man,Ng Yiu Tung,Wong Tai Sin - Lok Fu,Wong Tai Sin - Wong Tai Sin,5,5,0.07720146331455595,False
Lam Wai Ling,Wong Ka Ching,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.1214357689062657,False
Chan Yuk Lan,Cheung Ho Yin,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Diamond Hill,5,5,0.07139198336675458,False
Ho Wing Chiu,Chow Wing Sze,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.09049489393075998,False
Cheung Yee Kwan,Lam Yan Ting,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.054379209348977074,False
Yip Hoi Yan,Chow Ka Ming,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.022289044379539324,False
Lam Mei Lin,Yip Yuk Ting,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.01291113346029044,False
Lau Kin Man,Lau Yuk Ting,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.1511824895289393,False
Tang Yat Fung,Cheung Yiu Tung,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.09498043949333541,False
Chow Ming Yuet,Ng Tsz Wai,Kowloon City - Kowloon Tong,Kowloon City - Kowloon Tong,5,5,0.15716469251891932,False
Lee Ming Yuet,Yip Ka Ching,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.20279758211887777,False
Chow Mei Lin,Yip Hiu Lam,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.07833751525074718,False
Ho Sze Man,Chan Yan Ting,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.061519641735485915,False
Yip Ming Yuet,Leung Yan Ting,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.03899866887446531,False
Yip Lai Kwan,Lau Lok Yin,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.1871983463021006,False
Lee Chi Keung,Wong Yan Ting,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.0685158130797769,False
Tang Wing Chiu,Wong Hiu Lam,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.10924894662538538,False
Ho Lai Kwan,Chow Tsz Wai,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Chuk Yuen,5,5,0.04595304216779601,False
Lau Kam Ming,Leung Sze Wing,Yau Tsim Mong - Tsim Sha Tsui,Yau Tsim Mong - Yau Ma Tei,5,5,0.08326509029254231,False
Chow Siu Fong,Lau Ka Ming,Yau Tsim Mong - Yau Ma Tei,Yau Tsim Mong - Mong Kok,5,5,0.03478757054446511,False
Leung Lai Kwan,Chan Kwok Him,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Diamond Hill,5,5,0.06425859636818196,False
Yip Pak Kuen,Chow Wai Man,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.09490535938374746,False
Wong Chi Keung,Lau Ka Ming,Kowloon City - Kowloon Tong,Kowloon City - Kowloon Tong,5,5,0.0747275936171953,False
Yip Yee Kwan,Cheung Man Yi,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Diamond Hill,5,5,0.159257364452305,False
Chan Yat Fung,Chow Yan Ting,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.08264148286412254,False
Ng Hoi Yan,Lee Wai Man,Yau Tsim Mong - Mong Kok,Sham Shui Po - Sham Shui Po,5,5,0.1409262693386101,False
Chow Chun Wah,Ng Siu Tung,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Lok Fu,5,5,0.0559133942215732,False
Lau Sze Man,Cheung Ho Yin,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.0346462970111143,False
Cheung Hoi Yan,Ho Kwok Him,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.07417385981279451,False
Ng Wing Chiu,Wong Wai Man,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Chuk Yuen,5,5,0.14115843100491995,False
Cheung Ming Yuet,Ng Sze Wing,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.029901479813451558,False
Lau Ming Yuet,Yip Yuk Ting,Yau Tsim Mong - Yau Ma Tei,Yau Tsim Mong - Yau Ma Tei,5,5,0.13154714919166996,False
Wong Pak Kuen,Leung Kwok Him,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.07179140575160296,False
Ng Lai Kwan,Leung Yiu Tung,Kowloon City - Kowloon Tong,Wong Tai Sin - Lok Fu,5,5,0.04424516741239654,False
Tang Hoi Yan,Tang Siu Tung,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.08236396442477471,False
Lam Pak Kuen,Lee Ka Ming,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.07833375734619845,False
Wong Ming Yuet,Cheung Ka Ming,Wong Tai Sin - Lok Fu,Wong Tai Sin - Wong Tai Sin,5,5,0.07084816365955965,False
Lee Kwok Wai,Ng Wing Sze,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.102589381182375,False
Cheung Kin Man,Leung Yiu Tung,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.039824838204303784,False
Ng Yat Fung,Cheung Sze Wing,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.04616354864049925,False
Chow Mei Lin,Yip Wai Man,Yau Tsim Mong - Mong Kok,Kowloon City - Ho Man Tin,5,5,0.23317117696538633,False
Wong Kwok Wai,Ng Ho Yin,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Cheung Sha Wan,5,5,0.11716132115503686,False
Ng Siu Fong,Chan Yuk Ting,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.1038595163278003,False
Lau Wai Ling,Ng Man Yi,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.06345350032715646,False
Lam Hoi Yan,Yip Wai Man,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.09091751681747931,False
Chow Kwok Wai,Ng Sze Wing,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.08687944356421053,False
Chow Tak Ming,Chan Tsz Ho,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.09921374777836169,False
Chow Pak Kuen,Cheung Ka Ming,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Diamond Hill,5,5,0.03649708249242842,False
Tang Siu Lan,Yip Yan Ting,Yau Tsim Mong - Yau Ma Tei,Yau Tsim Mong - Mong Kok,5,5,0.04933297090728359,False
Chow Yee Kwan,Wong Ho Yin,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Cheung Sha Wan,5,5,0.054690291591361476,False
Leung Chi Keung,Lam Yan Ting,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.07876706000084828,False
Ho Ka Yan,Tang Tsz Wai,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.11386408701987497,False
Lau Mei Lin,Ho Ka Ming,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.06318915484129277,False
Leung Pak Kuen,Lee Sze Wing,Sham Shui Po - Sham Shui Po,Yau Tsim Mong - Mong Kok,5,5,0.06573509724393807,False
Chow Kam Ming,Cheung Sze Wing,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.0495755962288738,False
Ho Kin Man,Tang Wing Sze,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.012539315632016667,False
Tang Tak Ming,Ng Sze Wing,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Chuk Yuen,5,5,0.0828967555067548,False
Wong Kwok Wai,Wong Lok Yin,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.13292591759903,False
Tang Kam Ming,Wong Ka Ching,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.17321469241373189,False
Chan Yat Fung,Cheung Yan Ting,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.03374794263044521,False
Wong Pak Kuen,Lee Yan Ting,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.043999275878908915,False
Chow Wai Ling,Lam Pak Hei,Yau Tsim Mong - Mong Kok,Sham Shui Po - Sham Shui Po,5,5,0.06680708115342228,False
Lau Ming Yuet,Ng Siu Tung,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Cheung Sha Wan,5,5,0.0831380525306433,False
Chow Kwok Wai,Ho Chi Ho,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.21166677097310235,False
Lam Sze Man,Wong Wai Man,Sham Shui Po - Sham Shui Po,Sham Shui Po - Cheung Sha Wan,5,5,0.1067309349521699,False
Lam Pak Kuen,Wong Tsz Wai,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.02597548973114843,False
Cheung Pak Kuen,Tang Siu Tung,Kowloon City - Kowloon Tong,Wong Tai Sin - Lok Fu,5,5,0.10044340022671773,False
Yip Mei Lin,Cheung Ho Yin,Kowloon City - Ho Man Tin,Kowloon City - Ho Man Tin,5,5,0.11354802483358162,False
Cheung Kin Man,Lau Yuk Ting,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.11932651432913405,False
Chan Mei Lin,Leung Ka Ching,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.08348982227371626,False
Wong Chi Keung,Tang Wing Sze,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.016971374045145995,False
Wong Kam Ming,Ng Wing Sze,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.08104191898000788,False
Lam Chi Keung,Wong Wai Man,Sham Shui Po - Sham Shui Po,Sham Shui Po - Cheung Sha Wan,5,5,0.10754486411320024,False
Yip Pak Kuen,Lee Wing Sze,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Diamond Hill,5,5,0.06509692044319301,False
Yip Hoi Yan,Ng Tsz Wai,Kowloon City - Ho Man Tin,Kowloon City - Ho Man Tin,5,5,0.10968431637293041,False
Yip Yee Kwan,Cheung Sze Wing,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.07536987263047755,False
Yip Yat Fung,Lee Wing Sze,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Diamond Hill,5,5,0.12632805280399453,False
Ho Yuk Lan,Wong Chi Ho,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Cheung Sha Wan,5,5,0.06760435163963022,False
Leung Mei Lin,Leung Kwok Him,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.12490626139947704,False
Tang Wai Ling,Wong Yan Ting,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.03042852725681159,False
Cheung Yuk Lan,Wong Wai Man,Sham Shui Po - Sham Shui Po,Sham Shui Po - Cheung Sha Wan,5,5,0.11492308460473956,False
Lau Ka Yan,Lee Yiu Tung,Kowloon City - Ho Man Tin,Kowloon City - Ho Man Tin,5,5,0.22846479906425154,False
Ng Kwok Wai,Cheung Yan Ting,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Chuk Yuen,5,5,0.05217064103281484,False
Lam Yuk Lan,Chow Wing Sze,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.03134315224695772,False
Chow Tak Ming,Chow Man Yi,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.05898118563677541,False
Chow Mei Lin,Lau Siu Tung,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.14354352972780193,False
Ng Kwok Wai,Chow Man Yi,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.1502287634162442,False
Lee Ming Yuet,Leung Sze Wing,Yau Tsim Mong - Tsim Sha Tsui,Yau Tsim Mong - Yau Ma Tei,5,5,0.0655457776337093,False
Cheung Yat Fung,Ng Ka Ching,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.09065375997881825,False
Chan Yat Fung,Ng Siu Tung,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.09321762570806193,False
Ng Yuk Lan,Chan Chi Ho,Sham Shui Po - Sham Shui Po,Kowloon City - Kowloon Tong,5,5,0.12818780677594604,False
Cheung Lai Kwan,Wong Wai Man,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.1787874398994468,False
Chan Yee Kwan,Tang Wing Sze,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Wong Tai Sin,5,5,0.03183935360986921,False
Lam Siu Fong,Ng Sze Wing,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Chuk Yuen,5,5,0.1391402335747211,False
Cheung Siu Lan,Tang Chi Ho,Yau Tsim Mong - Yau Ma Tei,Yau Tsim Mong - Yau Ma Tei,5,5,0.22814515321621817,False
Chan Chi Keung,Leung Yan Ting,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.1001237265582968,False
Leung Ka Yan,Ho Man Yi,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.13358035528645557,False
Ho Mei Lin,Lee Wai Man,Yau Tsim Mong - Mong Kok,Sham Shui Po - Sham Shui Po,5,5,0.1421890205991808,False
Ho Sze Man,Lee Wing Sze,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.07845893691911678,False
Lau Ka Yan,Lau Ka Ming,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.034521652538172576,False
Wong Sze Man,Tang Kwok Him,Yau Tsim Mong - Yau Ma Tei,Yau Tsim Mong - Mong Kok,5,5,0.05942528838223904,False
Chan Kin Man,Chan Pak Hei,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.056968099444209046,False
Tang Tak Ming,Ng Hiu Lam,Kowloon City - Kowloon Tong,Wong Tai Sin - Lok Fu,5,5,0.07883075205531666,False
Lee Wing Chiu,Ng Sze Wing,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Wong Tai Sin,5,5,0.06501169430041018,False
Ho Yee Kwan,Wong Wai Man,Sham Shui Po - Sham Shui Po,Sham Shui Po - Cheung Sha Wan,5,5,0.0761648129024051,False
Cheung Siu Lan,Chow Lok Yin,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Sham Shui Po,5,5,0.05235630501423461,False
Chow Siu Lan,Lam Man Yi,Wong Tai Sin - Lok Fu,Wong Tai Sin - Wong Tai Sin,5,5,0.06329558511610615,False
Cheung Yat Fung,Tang Tsz Ho,Yau Tsim Mong - Mong Kok,Yau Tsim Mong - Mong Kok,5,5,0.1158754581206184,False
