elder_name,youth_name,elder_district,youth_district,zone,jaccard_score,distance_km,final_score,shared_interests
Wong Kam Ming,Yip Pak Hei,Hong Sing Garden,Nan Fung Plaza,0,0.5454545454545454,1.3172963106622906,0.5283669720224484,arts; calligraphy; cooking; food_social; games; mahjong
Chan Wing Chiu,Lam Hiu Lam,Beverly Garden,Lei Yue Mun Estate,0,0.5714285714285714,2.9854445070832,0.5233512418263103,digital_help; karaoke; music; park; smartphone; songs; walk; walking
Wong Chun Wah,Chow Tsz Wai,Serenity Place,Tai On Building,0,0.5833333333333334,5.835299342750956,0.5177782391053212,centre; community; cooking; food_social; karaoke; music; songs
Lee Siu Lan,Leung Ka Ching,Fu Ning Garden,Tseung Kwan O Plaza,0,0.5,0.6380534681015855,0.5165721024502588,chess; chinese; companionship; games; park; walking
Cheung Siu Fong,Cheung Lok Yin,Wo Lok Estate,Choi Ying Estate,0,0.5454545454545454,1.8555397563214098,0.5161658371511132,arts; chess; chinese; cooking; food_social; games
Lam Mei Lin,Lee Chi Ho,Fortress Garden,Siu Sai Wan Estate,0,0.5833333333333334,6.705823704216954,0.5152991303405908,chess; chinese; games; park; reading; walk; walking
Yip Ka Yan,Yip Kwok Him,Hiu Lai Court,On Tat Estate,0,0.47058823529411764,0.3045099645630555,0.5149857065677856,centre; community; karaoke; music; park; songs; walk; walking
Lau Wing Chiu,Chan Yiu Tung,Lei On Court,Hing Tin Estate,0,0.5,0.7272594363369442,0.5118427734967885,chess; chinese; games; light_exercise; park; stretching; walking
Wong Ming Yuet,Lam Chi Ho,East Point City,Yan Ming Court,0,0.5384615384615384,1.7976587677003844,0.5113085677350923,cooking; food_social; games; mahjong; park; walk; walking
Lam Lai Kwan,Wong Kwok Him,Ming Wah Dai Ha,Yiu Tung Estate,0,0.5333333333333333,1.838647839804408,0.5061753935201071,arts; calligraphy; karaoke; music; park; songs; walk; walking
Ng Ka Yan,Ho Yiu Tung,The Grandiose,Sheung Tak Estate,0,0.5,0.8532550139822723,0.5059386721569851,cooking; food_social; karaoke; music; park; songs; walk; walking
Cheung Lai Kwan,Lau Pak Hei,On Tat Estate,Yau Tong Estate,0,0.5555555555555556,3.5993328435422116,0.50483564793039,arts; calligraphy; chess; chinese; games
Tang Yee Kwan,Ho Hiu Lam,Taikoo Shing,Yiu Tung Estate,0,0.5384615384615384,2.186747691029721,0.5047622405967012,chess; chinese; companionship; food_social; games; mahjong; tea
Ho Siu Lan,Yip Yan Ting,Metro Town,Park Central,0,0.4666666666666667,0.4246959527858658,0.5019522889825638,arts; calligraphy; food_social; park; tea; walk; walking
Leung Yuk Lan,Tang Yan Ting,Kornhill,Metropole Building,0,0.46153846153846156,0.3741408944823088,0.5014668044499088,light_exercise; park; reading; stretching; walk; walking
Wong Hoi Yan,Lau Tsz Wai,Shun On Estate,Lower Ngau Tau Kok Estate,0,0.5,1.01419747844578,0.49947134732575715,chess; chinese; games; mahjong; park; walk; walking
Wong Chi Keung,Chow Tsz Wai,Kornhill Gardens,Tai On Building,0,0.5,1.1345007336722481,0.49527404471393,centre; community; food_social; karaoke; music; songs
Lam Siu Fong,Lee Chi Ho,Yan Ming Court,Yuk Ming Court,0,0.5,1.1487083776305542,0.49480938016605563,games; karaoke; mahjong; music; songs
Chow Yuk Lan,Ng Yan Ting,Nan Fung Plaza,Fu Ning Garden,0,0.5,1.1709890270781562,0.49409293328021964,arts; calligraphy; chess; chinese; games
Tang Siu Lan,Cheung Siu Tung,Hong Pak Court,Hong Nga Court,0,0.42857142857142855,0.161263726237732,0.49345533924762597,chess; chinese; games; park; walk; walking
Wong Pak Kuen,Tang Lok Yin,Cheung Wo Court,Kwong Ming Court,0,0.5384615384615384,3.2961943229666706,0.4926069295002942,cooking; food_social; light_exercise; park; stretching; walk; walking
Cheung Mei Lin,Lam Hiu Lam,Hing Man Estate,Po Pui Court,0,0.5555555555555556,6.370782464803662,0.4925728431659642,chess; chinese; cooking; food_social; games
Lam Kam Ming,Ng Chi Ho,Lok Nga Court,Choi Wan (2) Estate,0,0.5,1.2555977852377154,0.4915012179838577,centre; chess; chinese; community; games
Wong Mei Lin,Wong Kwok Him,Ming Wah Dai Ha,Yiu Tung Estate,0,0.5,1.3027143930610587,0.4901405143651363,arts; karaoke; music; park; songs; walk; walking
Wong Ka Yan,Ho Kwok Him,Metropole Building,Nan Fung Sun Chuen,0,0.47058823529411764,0.6897484170117448,0.4887706113465513,food_social; karaoke; music; park; songs; tea; walk; walking
Chow Tak Ming,Ng Man Yi,Lok Hin Terrace,Harmony Garden,0,0.45454545454545453,0.4671706889212028,0.48860122953031393,arts; calligraphy; chess; chinese; games
Ho Wing Chiu,Ng Chi Ho,Aldrich Garden,Wo Ming Court,0,0.5454545454545454,5.13770059569605,0.48807548341115103,centre; community; companionship; park; walk; walking
Lau Siu Lan,Lam Chi Ho,Ko Yee Estate,Yan Ming Court,0,0.5384615384615384,3.9682232795873147,0.48788418747683693,cooking; food_social; games; mahjong; park; walk; walking
Chan Ming Yuet,Leung Kwok Him,Oi Tung Estate,Bedford Gardens,0,0.5,1.4223063282259776,0.48692445532264916,cooking; food_social; park; reading; walk; walking
Ho Ka Yan,Chow Kwok Him,Oscar By The Sea,Sheung Tak Estate,0,0.46153846153846156,0.5873150132513186,0.48680689300053587,companionship; food_social; karaoke; music; reading; songs
Leung Yuk Lan,Ng Chi Ho,Tsui Ping South Estate,Choi Wan (2) Estate,0,0.5,1.5054411671462546,0.484869695591716,centre; chess; chinese; community; games
Chan Wai Ling,Chow Tsz Ho,King Lam Estate,Island Resort,0,0.5454545454545454,6.075971507955407,0.4848348661785738,companionship; cooking; food_social; karaoke; music; songs
Chan Chun Wah,Ng Lok Yin,Kin Ming Estate,Hing Wah (1) Estate,0,0.5384615384615384,4.924540804722207,0.48301072559913366,centre; chess; chinese; community; food_social; games; tea
Chow Mei Lin,Chow Tsz Ho,Ming Tak Estate,Island Resort,0,0.5454545454545454,6.76939082275063,0.4829428965965494,companionship; cooking; food_social; karaoke; music; songs
Ho Ming Yuet,Lee Kwok Him,Hing Tin Estate,Laguna City,0,0.46153846153846156,0.6620126058959029,0.48255971534763964,digital_help; games; karaoke; music; smartphone; songs
Chow Kam Ming,Leung Kwok Him,The Grandiose,Wo Ming Court,0,0.4666666666666667,0.7559232274153581,0.4820918137676555,food_social; games; mahjong; park; tea; walk; walking
Lee Chun Wah,Lau Sze Wing,Hing Tin Estate,Hong Nga Court,0,0.4444444444444444,0.4415081306862214,0.4818354634798996,chess; chinese; companionship; games
Leung Chi Keung,Ho Yuk Ting,Hiu Lai Court,Provident Centre,0,0.5294117647058824,3.8542642908836693,0.48090066609716753,cooking; food_social; karaoke; music; park; reading; songs; walk; walking
Cheung Lai Kwan,Lee Chi Ho,Ying Ming Court,Yuk Ming Court,0,0.5,1.713704680596323,0.48027499033794574,games; karaoke; mahjong; music; songs
Leung Sze Man,Wong Siu Tung,Ying Ming Court,The Wings,0,0.5,1.7732386171193122,0.4790883857141048,arts; calligraphy; cooking; food_social; reading
Yip Wing Chiu,Chow Tsz Ho,Tseung Kwan O Plaza,Island Resort,0,0.5384615384615384,6.443862708340706,0.4778431360830473,arts; calligraphy; cooking; food_social; karaoke; music; songs
Tang Chun Wah,Ho Yiu Tung,Hong Nga Court,Sheung Tak Estate,0,0.5,1.9307662139410384,0.47618115504624065,cooking; food_social; karaoke; music; park; songs; walk; walking
Leung Kwok Wai,Chan Wing Sze,Well On Garden,Ming Tak Estate,0,0.5,1.9653827476101913,0.47558368944814466,chess; chinese; games; park; reading; walk; walking
Yip Kam Ming,Ng Yuk Ting,Kornhill,Taikoo Shing,0,0.4166666666666667,0.23885667943957462,0.4752460477520203,arts; calligraphy; chinese; games; mahjong
Ho Lai Kwan,Tang Tsz Wai,Tai On Building,Ko Cheung Court,0,0.5,2.010820151917075,0.4748203122177493,chess; chinese; cooking; food_social; games; park; walking
Lau Tak Ming,Tang Ho Yin,Upper Ngau Tau Kok Estate,Wo Lok Estate,0,0.47058823529411764,1.0149583108545526,0.4744432275307891,chess; chinese; games; karaoke; music; park; songs; walking
Lee Kam Ming,Lam Chi Ho,Provident Centre,Yan Ming Court,0,0.5384615384615384,8.00389871977956,0.47435175763375176,cooking; food_social; games; mahjong; park; walk; walking
Lau Hoi Yan,Cheung Man Yi,Po Pui Court,Shun Tin Estate,0,0.4166666666666667,0.24928218811311337,0.4742356162020447,chess; chinese; games; light_exercise; stretching
Leung Chi Keung,Lau Sze Wing,Kai Tin Estate,Hong Nga Court,0,0.4,0.14182868301142226,0.4713682185705782,chess; chinese; companionship; games
Wong Tak Ming,Lee Sze Wing,Oi Tung Estate,Tak Tin Estate,0,0.5,2.24756870010068,0.4711883993386652,centre; community; cooking; food_social; reading
Wong Pak Kuen,Ho Wai Man,LOHAS Park - Wings at Sea,Tong Ming Court,0,0.45454545454545453,0.776014029424564,0.47082242864502427,arts; calligraphy; karaoke; music; songs
Ng Wing Chiu,Yip Sze Wing,Hong Pak Court,Choi Ming Court,0,0.5,2.3207363786117714,0.4701707039938856,arts; calligraphy; karaoke; music; songs
Leung Yuk Lan,Ng Chi Ho,Shun On Estate,Choi Wan (2) Estate,0,0.4166666666666667,0.3062146147069014,0.46900231335988496,centre; chess; chinese; community; games
Ho Siu Fong,Lau Sze Wing,Nan Fung Sun Chuen,Grand Promenade,0,0.4444444444444444,0.6511656735741148,0.46862268958805653,chess; chinese; games; mahjong
Cheung Chun Wah,Ho Chi Ho,Tsui Ping North Estate,On Tat Estate,0,0.4117647058823529,0.27038648537567106,0.4680743039435301,arts; calligraphy; chess; chinese; food_social; games; tea
Lam Tak Ming,Lau Sze Wing,Tsui Ping South Estate,Grand Promenade,0,0.5,2.5485999309533067,0.4672701918837336,chess; chinese; companionship; games; mahjong
Chan Tak Ming,Chan Ka Ming,Grand Promenade,Grand Promenade,0,0.4166666666666667,0.3327182523433493,0.466718588077101,chess; chinese; cooking; food_social; games
Lam Chi Keung,Lee Hiu Lam,Po Ming Court,Po Ming Court,0,0.4,0.19653880867392268,0.46536158368840475,karaoke; music; park; songs; walk; walking
Yip Siu Lan,Ng Pak Hei,Po Lam Estate,East Point City,0,0.46153846153846156,1.0873334608790148,0.46416971282876046,karaoke; music; park; songs; walk; walking
Ng Wing Chiu,Wong Wai Man,Tung Hei Court,Bedford Gardens,0,0.4666666666666667,1.2646184300864047,0.46290299063506113,food_social; light_exercise; park; stretching; tea; walk; walking
Lee Siu Lan,Chow Wai Man,Harmony Garden,Island Resort,0,0.42857142857142855,0.5344068504662807,0.46204335917267336,karaoke; music; park; songs; walk; walking
Leung Chun Wah,Ng Pak Hei,On Ning Garden,East Point City,0,0.42857142857142855,0.5416394058520458,0.4615847320914357,karaoke; music; park; songs; walk; walking
Yip Mei Lin,Chan Kwok Him,Lei King Wan,Kornhill Gardens,0,0.4117647058823529,0.347324357901379,0.4613317658961077,arts; calligraphy; food_social; park; tea; walk; walking
Lee Yuk Lan,Tang Tsz Wai,Yau Lai Estate,Ko Cheung Court,0,0.4375,0.6815089077947523,0.4610805934432845,chess; chinese; cooking; food_social; games; park; walking
Chow Kin Man,Lam Hiu Lam,King Lam Estate,Po Pui Court,0,0.5,3.2086651362904575,0.4606407542872871,chess; chinese; cooking; food_social; games
Tang Yee Kwan,Wong Yiu Tung,Po Ming Court,Oscar By The Sea,0,0.46153846153846156,1.2245783386714162,0.45973620106930524,light_exercise; park; reading; stretching; walk; walking
Tang Sze Man,Yip Sze Wing,Wo Lok Estate,Choi Ming Court,0,0.5,3.4867599288838083,0.4584316973445281,arts; calligraphy; karaoke; music; songs
Chow Wing Chiu,Tang Chi Ho,Tong Ming Court,Yuk Ming Court,0,0.4117647058823529,0.3850088916867329,0.45830255379611495,chinese; games; light_exercise; park; stretching; walk; walking
Yip Pak Kuen,Ng Yiu Tung,Island Resort,Heng Fa Chuen,0,0.46153846153846156,1.2790018097703217,0.4581259814187119,chess; chinese; games; light_exercise; reading; stretching
Cheung Kwok Wai,Tang Pak Hei,Sau Mau Ping Estate,On Tai Estate,0,0.4666666666666667,1.5045494737746596,0.4565576776331747,food_social; games; karaoke; mahjong; music; songs; tea
Lam Wai Ling,Ng Kwok Him,Yau Tong Estate,Yau Tong Estate,0,0.4375,0.7791553849207069,0.45618466809944214,games; light_exercise; mahjong; park; stretching; walk; walking
Wong Ka Yan,Ho Yiu Tung,Hong Wah Court,The Beaumount,0,0.5,3.810964034162604,0.45617878224298736,chess; chinese; games; park; walk; walking
Tang Sze Man,Tang Chi Ho,Nan Fung Plaza,Yuk Ming Court,0,0.4375,0.7962230600616561,0.45538355934053715,chess; chinese; games; light_exercise; park; stretching; walking
Tang Ka Yan,Tang Yan Ting,The Pinnacle,Residence Oasis,0,0.46153846153846156,1.39650056715774,0.45489895644325673,arts; calligraphy; chinese; companionship; food_social; tea
Chow Wing Chiu,Chan Ka Ming,Oi Tung Estate,Grand Promenade,0,0.42857142857142855,0.6598623021917369,0.4546546562165811,arts; calligraphy; chess; chinese; food_social; games
Lam Siu Lan,Ho Wai Man,Island Resort,Tong Ming Court,0,0.5,4.065155293538118,0.45461409696389027,arts; calligraphy; karaoke; music; songs
Ho Kwok Wai,Lau Pak Hei,Kwong Tin Estate,Yau Tong Estate,0,0.45454545454545453,1.2093559659238378,0.45425672480820384,arts; calligraphy; chess; chinese; games
Tang Lai Kwan,Lau Tsz Wai,Ming Tak Estate,Yau Lai Estate,0,0.5,4.137349977388263,0.45419793291487165,cooking; food_social; park; reading; walk; walking
Tang Kwok Wai,Chow Hiu Lam,Yu Ming Court,Metro City,0,0.38461538461538464,0.1795377872513898,0.45409153360265186,centre; chess; chinese; community; games
Lam Wai Ling,Lee Chi Ho,On Tat Estate,Yuk Ming Court,0,0.5,4.206970118473924,0.4538075400063871,games; karaoke; mahjong; music; songs
Lam Kin Man,Yip Chi Ho,Nan Fung Sun Chuen,Shun On Estate,0,0.5,4.211993439092658,0.45377977529191077,arts; calligraphy; chess; chinese; games; park; walking
Tang Kin Man,Ho Yiu Tung,Tung Yuk Court,The Beaumount,0,0.5,4.285425733766463,0.45337992766442825,chess; chinese; games; park; walk; walking
Cheung Yat Fung,Chan Tsz Wai,The Grandiose,Tong Ming Court,0,0.45454545454545453,1.2501822626425836,0.4530249030931332,chess; chinese; digital_help; games; smartphone
Chan Ka Yan,Lam Ho Yin,Po Pui Court,Lei King Wan,0,0.5,4.396908345378801,0.4527936904613991,arts; centre; chess; chinese; community; games
Ho Siu Lan,Lau Tsz Wai,Sheung Tak Estate,Metro City,0,0.38461538461538464,0.19255777866932614,0.45270314618510654,chess; chinese; food_social; games; tea
Cheung Mei Lin,Lam Ho Yin,Metro Town,Lei King Wan,0,0.5,4.526751777956578,0.4521407159261746,arts; calligraphy; centre; chinese; community; games
Chow Lai Kwan,Tang Ho Yin,Shun Tin Estate,Wo Lok Estate,0,0.4444444444444444,1.0266657729818032,0.45179096830958765,chess; chinese; games; karaoke; music; park; songs; walking
Chow Siu Fong,Wong Kwok Him,Island Resort,Kai Tsui Court,0,0.45454545454545453,1.3376885870768722,0.4505295825162696,chess; chinese; companionship; games; mahjong
Chow Kin Man,Chan Hiu Lam,Healthy Gardens,Healthy Gardens,0,0.4375,0.9389216498698552,0.4492375896694012,arts; calligraphy; cooking; food_social; park; walk; walking
Lau Siu Lan,Cheung Man Yi,Yan Ming Court,Ming Wah Dai Ha,0,0.5,5.262094068701705,0.44895364846876196,karaoke; light_exercise; music; reading; songs; stretching
Chan Siu Fong,Ho Pak Hei,Kornhill Gardens,Tung Yuk Court,0,0.375,0.15268447409170555,0.4488810144896306,companionship; karaoke; music; park; songs; walking
Lau Lai Kwan,Tang Yan Ting,Bedford Gardens,Metropole Building,0,0.4,0.3865622768984226,0.44818122092253404,light_exercise; park; reading; stretching; walk; walking
Wong Yee Kwan,Cheung Yuk Ting,Serenity Place,Sheung Tak Estate,0,0.46153846153846156,1.6912241075302235,0.4480444106212248,games; mahjong; park; reading; walk; walking
Ng Kin Man,Cheung Man Yi,Nan Fung Plaza,Verbena Heights,0,0.35714285714285715,0.053560517155871165,0.445945784441304,digital_help; karaoke; music; smartphone; songs
Cheung Siu Lan,Yip Tsz Wai,Po Ming Court,Verbena Heights,0,0.4444444444444444,1.2471226934558461,0.44452980713373397,chess; chinese; games; mahjong
Yip Siu Lan,Leung Yiu Tung,Hau Tak Estate,Po Ming Court,0,0.4166666666666667,0.6667475490998904,0.44416229922722206,chess; chinese; games; light_exercise; stretching
Ho Hoi Yan,Ho Yiu Tung,Bedford Gardens,The Beaumount,0,0.5,6.917234867859758,0.44394600861330125,chess; chinese; games; park; walk; walking
Lam Tak Ming,Ng Ka Ching,Hong Wah Court,The Grandiose,0,0.4444444444444444,1.300907540063291,0.44296944558198426,centre; chess; chinese; community; games; park; walk; walking
Wong Siu Lan,Wong Siu Tung,Beverly Garden,The Wings,0,0.36363636363636365,0.1283646446595917,0.44202665881501746,arts; calligraphy; cooking; food_social
Ho Sze Man,Ho Wing Sze,Ming Tak Estate,The Grandiose,0,0.4666666666666667,2.5674287539264475,0.43871375725954936,centre; chess; chinese; community; digital_help; games; smartphone
Wong Pak Kuen,Chow Wing Sze,Ko Cheung Court,Hong Pak Court,0,0.4166666666666667,0.775698626123055,0.43864046069527407,cooking; food_social; games; mahjong; reading
Wong Kwok Wai,Ho Wing Sze,Sceneway Garden,Yau Tong Estate,0,0.4117647058823529,0.6972639640606151,0.4383775318254756,arts; calligraphy; centre; community; park; walk; walking
Chow Hoi Yan,Chow Tsz Wai,Kornhill,Tai On Building,0,0.4166666666666667,0.8097131816021432,0.43705272923444033,centre; community; karaoke; music; songs
Wong Chi Keung,Tang Lok Yin,Po Lam Estate,Kwong Ming Court,0,0.4,0.5487045625281038,0.43685514179356466,cooking; food_social; light_exercise; park; walk; walking
Cheung Tak Ming,Ng Kwok Him,Yau Chui Court,Yau Tong Estate,0,0.4,0.5543987206755928,0.4365003367570999,games; light_exercise; mahjong; park; stretching; walking
Lee Tak Ming,Ho Hiu Lam,Fu Ning Garden,Nan Fung Plaza,0,0.42857142857142855,1.0969325669432421,0.43581877279443837,food_social; park; reading; tea; walk; walking
Wong Kin Man,Chow Wing Sze,Fu Ning Garden,Metro City,0,0.4444444444444444,1.5879653981860131,0.4357383672451407,chess; chinese; companionship; games
Ng Pak Kuen,Wong Kwok Him,Siu Sai Wan Estate,Kai Tsui Court,0,0.4,0.5677847029577903,0.43567640232552934,chess; chinese; games; mahjong
Yip Kwok Wai,Ng Yuk Ting,Tung Yuk Court,Taikoo Shing,0,0.4166666666666667,0.8744855538909453,0.4341886223913395,arts; calligraphy; chinese; games; mahjong
Lau Wai Ling,Ng Chi Ho,Residence Oasis,Wo Ming Court,0,0.38461538461538464,0.40389136243592705,0.4337689511933846,centre; community; park; walk; walking
Wong Mei Lin,Chow Tsz Wai,Chung Ming Court,East Point City,0,0.35294117647058826,0.1354592122071293,0.43210514159150365,companionship; food_social; light_exercise; park; tea; walking
Wong Yat Fung,Leung Pak Hei,Amoy Gardens,Po Ming Court,0,0.4666666666666667,3.293110187570645,0.43160637085461834,food_social; games; mahjong; park; tea; walk; walking
Chow Chun Wah,Yip Chi Ho,Upper Ngau Tau Kok Estate,Shun On Estate,0,0.42857142857142855,1.2429426832967079,0.4311621445739497,arts; calligraphy; chinese; park; walk; walking
Cheung Wing Chiu,Ho Pak Hei,Siu Sai Wan Estate,Tung Yuk Court,0,0.4666666666666667,3.392075996577551,0.4308190811779103,games; karaoke; music; park; songs; walk; walking
Ng Ka Yan,Tang Yan Ting,Lei On Court,Metropole Building,0,0.46153846153846156,3.0507521713691053,0.42933785205437014,light_exercise; park; reading; stretching; walk; walking
Wong Kin Man,Ng Chi Ho,Tseung Kwan O Plaza,Wo Ming Court,0,0.38461538461538464,0.47155343185792586,0.42885617479952703,centre; community; park; walk; walking
Ng Kin Man,Yip Hiu Lam,LOHAS Park - Wings at Sea,Hong Nga Court,0,0.46153846153846156,3.1143999072960287,0.4287650137591162,cooking; food_social; park; tea; walk; walking
Yip Ka Yan,Lee Ka Ming,Provident Centre,Oi Tung Estate,0,0.46153846153846156,3.1181145733487114,0.428732128133436,games; mahjong; park; reading; walk; walking
Tang Kwok Wai,Lau Man Yi,Ko Yee Estate,Verbena Heights,0,0.47058823529411764,4.221537550027541,0.42872717060115917,chess; chinese; digital_help; games; park; smartphone; walk; walking
Ho Tak Ming,Leung Kwok Him,Bedford Gardens,Bedford Gardens,0,0.42857142857142855,1.3295799660601981,0.42867500428020244,cooking; food_social; park; reading; walk; walking
Lam Ming Yuet,Tang Yan Ting,Tsui Ping South Estate,Hong Nga Court,0,0.375,0.36484334709099664,0.42865272277013133,games; mahjong; park; reading; walk; walking
Lee Ka Yan,Chan Chi Ho,Nan Fung Plaza,Yuk Ming Court,0,0.38461538461538464,0.48526202485233005,0.4279153580762381,digital_help; karaoke; music; smartphone; songs
Leung Hoi Yan,Cheung Yuk Ting,Wo Lok Estate,Po Pui Court,0,0.4,0.7147922714441185,0.42747415211620765,chess; chinese; games; karaoke; music; songs
Cheung Siu Fong,Chan Yiu Tung,Heng Fa Chuen,Hing Tin Estate,0,0.4666666666666667,3.967863498616752,0.42686073299754834,chess; chinese; games; light_exercise; park; walk; walking
