name,district,interests,age,longitude,latitude
Tang Kwok Him,Butterfly Estate,Park walk and chat; Mahjong companion; Phone and smartphone help; Tea time conversation; Clinic escort,32,113.95886,22.369557
Chow Pak Hei,Carado Garden,Cooking together; Calligraphy practice; Board games,25,114.178687,22.365591
Ho Pak Hei,Caribbean Coast,Chinese chess; Photo sharing and memory talk; Tea time conversation,32,113.944201,22.295257
Wong Tsz Wai,Castello,Grocery escort; Phone and smartphone help; Home visit companionship; Chinese chess; Board games,24,114.211558,22.381652
Chow Pak Hei,Celestial Heights,Community centre activities; Calligraphy practice; Park walk and chat; Grocery escort,20,114.187269,22.311809
Lee Sze Wing,Central Park,Tea time conversation; Mahjong companion; Grocery escort,19,114.159652,22.322478
Lam Yan Ting,Central Park Towers,Park walk and chat; Board games; Phone and smartphone help,29,113.996665,22.460183
Lam Wing Sze,Central Park Towers II,Park walk and chat; Home visit companionship; Simple stretching session; Calligraphy practice; Old songs karaoke,31,113.994017,22.454365
Ho Ho Yin,Century Gateway,Photo sharing and memory talk; Mahjong companion; Chinese chess,27,113.970823,22.39347
Chan Hiu Lam,Century Link,Clinic escort; Reading aloud; Board games,21,113.942889,22.292203
Leung Wai Man,Chai Wan Estate,Tea time conversation; Community centre activities; Clinic escort; Phone and smartphone help,27,114.245936,22.267308
Chow Hiu Lam,Chak On Estate,Park walk and chat; Mahjong companion; Clinic escort,29,114.159036,22.342426
Leung Ho Yin,Charming Garden,Photo sharing and memory talk; Community centre activities; Reading aloud; Board games,22,114.171632,22.318534
Ho Wing Sze,Cheerful Garden,Cooking together; Community centre activities; Old songs karaoke,33,114.248194,22.255283
Leung Kwok Him,Chelsea Court,Tea time conversation; Community centre activities; Clinic escort; Simple stretching session,28,114.154781,22.258125
Chan Man Yi,Chelsea Heights,Phone and smartphone help; Park walk and chat; Board games; Clinic escort; Photo sharing and memory talk,28,113.968512,22.399445
Yip Yuk Ting,Cheong Shing Court,Reading aloud; Board games; Tea time conversation,26,114.138803,22.490657
Cheung Man Yi,Cheung Ching Estate,Phone and smartphone help; Reading aloud; Old songs karaoke,22,114.111418,22.351374
Ho Sze Wing,Cheung Fat Estate,Chinese chess; Clinic escort; Grocery escort,24,114.108491,22.354963
Tang Yiu Tung,Cheung Hang Estate,Cooking together; Phone and smartphone help; Park walk and chat; Reading aloud,28,114.099189,22.356708
Ng Man Yi,Cheung Hong Estate,Photo sharing and memory talk; Grocery escort; Park walk and chat; Phone and smartphone help,23,114.10459,22.354793
Lam Ho Yin,Cheung Lung Wai Estate,Reading aloud; Simple stretching session; Old songs karaoke; Phone and smartphone help,27,114.128092,22.49101
Cheung Chi Ho,Cheung On Estate,Simple stretching session; Park walk and chat; Mahjong companion; Home visit companionship,23,114.106671,22.355526
Lau Ka Ching,Cheung Sha Wan Estate,Board games; Grocery escort; Calligraphy practice,23,114.159311,22.330022
Yip Ka Ching,Cheung Shan Estate,Tea time conversation; Park walk and chat; Reading aloud,24,114.124637,22.377419
Lau Siu Tung,Cheung Wah Estate,Home visit companionship; Grocery escort; Cooking together; Phone and smartphone help,19,114.143699,22.495018
Ng Yiu Tung,Cheung Wang Estate,Grocery escort; Clinic escort; Board games; Old songs karaoke,28,114.098386,22.348755
Wong Ka Ming,Cheung Wo Court,Park walk and chat; Grocery escort; Board games; Photo sharing and memory talk,26,114.224236,22.316362
Lee Man Yi,Chevalier Garden,Home visit companionship; Photo sharing and memory talk; Board games,22,114.225278,22.39755
Lee Yiu Tung,Chi Fu Fa Yuen,Calligraphy practice; Clinic escort; Park walk and chat,28,114.140525,22.253495
Lau Sze Wing,Ching Ho Estate,Clinic escort; Reading aloud; Park walk and chat; Mahjong companion,26,114.133483,22.490804
Chan Tsz Wai,Ching Tai Court,Simple stretching session; Old songs karaoke; Home visit companionship,20,114.108243,22.357889
Lam Ka Ming,Ching Wah Court,Clinic escort; Tea time conversation; Mahjong companion; Reading aloud,29,114.099223,22.351331
Ho Man Yi,Cho Yiu Chuen,Mahjong companion; Old songs karaoke; Tea time conversation,23,114.122038,22.343404
Leung Siu Tung,Choi Fai Estate,Simple stretching session; Phone and smartphone help; Reading aloud,23,114.217546,22.337541
Chan Yiu Tung,Choi Fook Estate,Mahjong companion; Board games; Community centre activities,22,114.21229,22.327072
Lau Lok Yin,Choi Ha Estate,Reading aloud; Board games; Grocery escort,30,114.218086,22.329757
Chow Kwok Him,Choi Hing Court,Reading aloud; Grocery escort; Mahjong companion; Simple stretching session,26,114.208132,22.33736
Lau Ka Ching,Choi Hung Estate,Simple stretching session; Chinese chess; Cooking together; Mahjong companion; Phone and smartphone help,27,114.20089,22.343127
Yip Sze Wing,Choi Ming Court,Old songs karaoke; Home visit companionship; Calligraphy practice,23,114.259897,22.312293
Ho Lok Yin,Choi Po Court,Calligraphy practice; Clinic escort; Cooking together,33,114.123522,22.504359
Ho Tsz Ho,Choi Tak Estate,Tea time conversation; Park walk and chat; Grocery escort,22,114.206403,22.334479
Lee Siu Tung,Choi Wan (1) Estate,Grocery escort; Calligraphy practice; Phone and smartphone help,25,114.208544,22.335301
Lee Siu Tung,Choi Wan (2) Estate,Cooking together; Chinese chess; Home visit companionship; Mahjong companion,28,114.220459,22.337075
Lau Yiu Tung,Choi Ying Estate,Home visit companionship; Photo sharing and memory talk; Chinese chess,32,114.207315,22.333096
Yip Yan Ting,Choi Yuen Estate,Park walk and chat; Photo sharing and memory talk; Board games,24,114.126551,22.50196
Wong Man Yi,Chuk Yuen North Estate,Old songs karaoke; Tea time conversation; Community centre activities,27,114.189493,22.343272
Lee Tsz Wai,Chuk Yuen South Estate,Calligraphy practice; Chinese chess; Mahjong companion; Phone and smartphone help,29,114.200199,22.350265
Yip Ho Yin,Chun Man Court,Reading aloud; Old songs karaoke; Board games,31,114.186083,22.316609
Chow Ka Ming,Chun Shek Estate,Grocery escort; Community centre activities; Board games; Clinic escort,21,114.191469,22.367239
Leung Siu Tung,Chun Yeung Estate,Home visit companionship; Park walk and chat; Cooking together,24,114.188881,22.407132
Wong Wai Man,Chung Ming Court,Grocery escort; Old songs karaoke; Board games,26,114.267055,22.314607
Lee Yuk Ting,Chung Nga Court,Phone and smartphone help; Mahjong companion; Chinese chess,31,114.17116,22.457245
Ng Kwok Him,Chung On Estate,Board games; Mahjong companion; Chinese chess,20,114.229136,22.428199
Tang Pak Hei,City Garden,Home visit companionship; Calligraphy practice; Clinic escort,27,114.19571,22.294839
Leung Pak Hei,City One Shatin,Clinic escort; Community centre activities; Tea time conversation; Calligraphy practice; Chinese chess,27,114.201096,22.391147
Leung Chi Ho,City Point,Reading aloud; Home visit companionship; Tea time conversation; Chinese chess,23,114.109695,22.371895
Chow Chi Ho,Clague Garden Estate,Cooking together; Old songs karaoke; Board games,25,114.108967,22.368864
Tang Ka Ching,Classical Gardens,Phone and smartphone help; Park walk and chat; Chinese chess; Board games,23,114.169038,22.443762
Lau Man Yi,Coastal Skyline,Home visit companionship; Simple stretching session; Park walk and chat,30,113.943715,22.289718
Wong Wing Sze,Cosmopolitan Estate,Cooking together; Board games; Mahjong companion; Photo sharing and memory talk,20,114.166199,22.317391
Wong Man Yi,Cullinan West,Park walk and chat; Cooking together; Photo sharing and memory talk; Grocery escort,28,114.155432,22.332683
Lau Tsz Wai,Dawning Views,Park walk and chat; Board games; Home visit companionship,29,114.14335,22.489106
Ho Yuk Ting,Discovery Bay,Board games; Clinic escort; Tea time conversation; Mahjong companion,24,114.012669,22.293217
Leung Pak Hei,Discovery Park,Park walk and chat; Calligraphy practice; Phone and smartphone help,29,114.119488,22.380135
Lam Yan Ting,Double Cove,Mahjong companion; Tea time conversation; Phone and smartphone help,24,114.247128,22.433133
Ng Pak Hei,East Point City,Reading aloud; Park walk and chat; Old songs karaoke,29,114.261722,22.319719
Yip Yiu Tung,Elegance Garden,Old songs karaoke; Community centre activities; Phone and smartphone help,29,114.174466,22.442034
Ho Ho Yin,Fairview Park,Old songs karaoke; Chinese chess; Grocery escort; Cooking together,24,114.042433,22.47288
Lam Tsz Ho,Fanling Centre,Old songs karaoke; Cooking together; Mahjong companion,32,114.137665,22.48608
Lee Sze Wing,Fanling Town Center,Board games; Home visit companionship; Clinic escort; Cooking together; Grocery escort,26,114.143597,22.498779
Chow Ka Ming,Festival City,Cooking together; Grocery escort; Phone and smartphone help; Board games; Chinese chess,24,114.169729,22.364152
Cheung Tsz Wai,Flora Plaza,Calligraphy practice; Clinic escort; Community centre activities; Chinese chess,26,114.142707,22.478966
Ng Ka Ching,Fortress Garden,Photo sharing and memory talk; Chinese chess; Grocery escort; Phone and smartphone help,31,114.19224,22.284777
Chow Chi Ho,Fortune Estate,Tea time conversation; Cooking together; Clinic escort,20,114.151006,22.337009
Lee Wing Sze,Fu Cheong Estate,Chinese chess; Home visit companionship; Park walk and chat; Calligraphy practice,31,114.158332,22.325336
Tang Pak Hei,Fu Heng Estate,Chinese chess; Photo sharing and memory talk; Phone and smartphone help,22,114.175968,22.458999
Yip Pak Hei,Fu Keung Court,Old songs karaoke; Mahjong companion; Grocery escort; Chinese chess,27,114.1868,22.339961
Lee Yuk Ting,Fu Ning Garden,Tea time conversation; Grocery escort; Reading aloud,27,114.274934,22.32158
Ho Pak Hei,Fu Shan Estate,Community centre activities; Tea time conversation; Chinese chess,25,114.211391,22.33525
Lau Man Yi,Fu Shin Estate,Board games; Community centre activities; Photo sharing and memory talk; Mahjong companion,31,114.169963,22.459941
Lau Yuk Ting,Fu Tai Estate,Phone and smartphone help; Board games; Photo sharing and memory talk,32,113.98982,22.408246
Lee Ka Ming,Fu Tung Estate,Clinic escort; Home visit companionship; Phone and smartphone help,30,113.938883,22.289286
Lam Yuk Ting,Fuk Loi Estate,Photo sharing and memory talk; Tea time conversation; Reading aloud,26,114.114274,22.372711
Tang Man Yi,Fullview Garden,Tea time conversation; Simple stretching session; Clinic escort; Park walk and chat,25,114.25909,22.262232
Wong Chi Ho,Fung Shing Court,Chinese chess; Park walk and chat; Grocery escort; Reading aloud; Mahjong companion,23,114.186189,22.375443
Ng Wing Sze,Fung Tak Estate,Grocery escort; Photo sharing and memory talk; Clinic escort; Cooking together,25,114.204462,22.349308
Tang Hiu Lam,Fung Wah Estate,Simple stretching session; Photo sharing and memory talk; Old songs karaoke,24,114.231987,22.266445
Lau Chi Ho,Fung Wo Estate,Phone and smartphone help; Clinic escort; Photo sharing and memory talk,33,114.197573,22.387946
Chow Wai Man,Galaxia,Park walk and chat; Reading aloud; Mahjong companion; Tea time conversation,29,114.196718,22.345092
Chan Wai Man,Garden Rivera,Community centre activities; Park walk and chat; Home visit companionship; Phone and smartphone help,23,114.188665,22.383274
Lam Yan Ting,Glorious Garden,Home visit companionship; Tea time conversation; Reading aloud,30,113.960709,22.389614
Ho Tsz Wai,Goodview Garden,Reading aloud; Mahjong companion; Old songs karaoke,34,113.975019,22.380274
Leung Hiu Lam,Grand Del Sol,Board games; Mahjong companion; Phone and smartphone help,29,114.029683,22.44291
Chan Ka Ching,Grand Horizon,Phone and smartphone help; Cooking together; Tea time conversation; Simple stretching session,24,114.108782,22.354699
Ng Kwok Him,Grand Promenade,Calligraphy practice; Clinic escort; Tea time conversation,29,114.221622,22.290765
Chow Ka Ching,Grand View Garden,Phone and smartphone help; Photo sharing and memory talk; Tea time conversation; Clinic escort,30,114.213622,22.340384
Lee Ho Yin,Grand Waterfront,Grocery escort; Tea time conversation; Mahjong companion,29,114.197312,22.314417
Lau Man Yi,Grand YOHO,Tea time conversation; Grocery escort; Clinic escort,26,114.044841,22.439547
Ng Lok Yin,Grandeur Terrace,Chinese chess; Photo sharing and memory talk; Park walk and chat,23,114.003007,22.466926
Ho Pak Hei,Greenfield Garden,Mahjong companion; Phone and smartphone help; Old songs karaoke,25,114.106948,22.351422
Tang Pak Hei,Greenwood Terrace,Home visit companionship; Clinic escort; Reading aloud,26,114.239889,22.272901
Cheung Tsz Ho,Hanford Garden,Phone and smartphone help; Grocery escort; Community centre activities,32,113.981953,22.389801
Lee Sze Wing,Harbour Green,Calligraphy practice; Park walk and chat; Cooking together; Mahjong companion,23,114.158621,22.314345
Lau Ka Ching,Harbour Place,Community centre activities; Tea time conversation; Board games; Old songs karaoke,26,114.185764,22.304373
Ng Tsz Wai,Harmony Garden,Community centre activities; Cooking together; Tea time conversation; Park walk and chat; Photo sharing and memory talk,32,114.249318,22.261376
Lau Kwok Him,Hau Tak Estate,Board games; Community centre activities; Photo sharing and memory talk,25,114.273561,22.311861
Ng Siu Tung,Healthy Gardens,Grocery escort; Park walk and chat; Clinic escort; Photo sharing and memory talk,26,114.209075,22.290116
Lau Wing Sze,Healthy Village,Grocery escort; Cooking together; Home visit companionship,24,114.201306,22.296172
Cheung Lok Yin,Heng Fa Chuen,Simple stretching session; Tea time conversation; Reading aloud,24,114.236405,22.284333
Lam Ho Yin,Heng On Estate,Tea time conversation; Chinese chess; Simple stretching session; Reading aloud; Calligraphy practice,26,114.221348,22.408831
Ng Lok Yin,Highland Park,Tea time conversation; Clinic escort; Mahjong companion,27,114.130319,22.342114
Ng Wing Sze,Hin Keng Estate,Park walk and chat; Tea time conversation; Cooking together,23,114.176886,22.357398
Leung Wing Sze,Hing Man Estate,Photo sharing and memory talk; Phone and smartphone help; Community centre activities; Tea time conversation; Simple stretching session,24,114.233774,22.268677
Chow Man Yi,Hing Tin Estate,Mahjong companion; Board games; Park walk and chat,21,114.237509,22.316506
Ng Ka Ching,Hing Tung Estate,Clinic escort; Phone and smartphone help; Old songs karaoke,32,114.220259,22.275376
Tang Ka Ming,Hing Wah (1) Estate,Cooking together; Tea time conversation; Grocery escort,23,114.235243,22.256052
Wong Ho Yin,Hing Wah (2) Estate,Tea time conversation; Home visit companionship; Clinic escort; Chinese chess,28,114.137899,22.255064
Yip Tsz Wai,Hiu Lai Court,Chinese chess; Simple stretching session; Home visit companionship; Grocery escort,19,114.235097,22.315761
Yip Kwok Him,Ho Man Tin Estate,Simple stretching session; Reading aloud; Mahjong companion; Home visit companionship; Photo sharing and memory talk,26,114.188196,22.316457
Lee Ho Yin,Hoi Fu Court,Park walk and chat; Mahjong companion; Tea time conversation,23,114.169535,22.312647
Lee Sze Wing,Hoi Lai Estate,Board games; Chinese chess; Grocery escort; Home visit companionship,31,114.138196,22.339749
Ng Sze Wing,Hoi Lok Court,Board games; Cooking together; Grocery escort; Home visit companionship; Photo sharing and memory talk,20,114.148266,22.332821
Lam Ka Ming,Hoi Tat Estate,Simple stretching session; Photo sharing and memory talk; Mahjong companion,23,114.144645,22.326831
Chow Siu Tung,Hoi Ying Estate,Grocery escort; Cooking together; Park walk and chat,22,114.144709,22.324643
Lee Ka Ching,Hong Lam Court,Simple stretching session; Board games; Park walk and chat; Phone and smartphone help,22,114.21097,22.387438
Tang Wai Man,Hong Lok Yuen,Park walk and chat; Clinic escort; Tea time conversation,28,114.14848,22.455826
Tang Sze Wing,Hong Nga Court,Board games; Phone and smartphone help; Old songs karaoke; Clinic escort,25,114.238472,22.300426
Yip Man Yi,Hong Pak Court,Park walk and chat; Grocery escort; Cooking together,32,114.23955,22.29939
Yip Lok Yin,Hong Sing Garden,Grocery escort; Calligraphy practice; Board games,28,114.250847,22.325291
Tang Sze Wing,Hong Wah Court,Reading aloud; Cooking together; Home visit companionship,29,114.247652,22.312597
Cheung Sze Wing,Hong Yat Court,Home visit companionship; Tea time conversation; Park walk and chat,23,114.241616,22.311489
Lee Wing Sze,Hung Fuk Estate,Park walk and chat; Tea time conversation; Cooking together; Board games; Calligraphy practice,32,113.991392,22.431111
Lee Ho Yin,Hung Hom Estate,Tea time conversation; Simple stretching session; Old songs karaoke; Phone and smartphone help,24,114.191669,22.309067
Wong Chi Ho,I-Feng Mansion,Photo sharing and memory talk; Park walk and chat; Chinese chess,25,114.146068,22.273951
Lau Tsz Ho,Island Harbourview,Board games; Phone and smartphone help; Old songs karaoke; Grocery escort; Reading aloud,28,114.156562,22.323749
Ng Hiu Lam,Island Resort,Mahjong companion; Cooking together; Grocery escort; Old songs karaoke,24,114.256333,22.272856
Ng Tsz Wai,Jat Min Chuen,Photo sharing and memory talk; Board games; Mahjong companion,22,114.191212,22.369827
Wong Sze Wing,Jubilee Garden,Board games; Grocery escort; Calligraphy practice; Park walk and chat; Clinic escort,27,114.192629,22.399396
Tang Pak Hei,Ka Fuk Estate,Phone and smartphone help; Simple stretching session; Photo sharing and memory talk; Clinic escort,22,114.132499,22.486633
Lam Wing Sze,Ka Lung Court,Calligraphy practice; Reading aloud; Simple stretching session,26,114.132385,22.250976
Yip Yuk Ting,Ka Shing Court,Mahjong companion; Grocery escort; Clinic escort,32,114.136351,22.496679
Yip Kwok Him,Ka Tin Court,Calligraphy practice; Tea time conversation; Grocery escort; Photo sharing and memory talk,23,114.167401,22.361924
Lam Ho Yin,Ka Wai Chuen,Simple stretching session; Home visit companionship; Cooking together; Clinic escort,22,114.189212,22.300271
Lam Hiu Lam,Kai Ching Estate,Photo sharing and memory talk; Grocery escort; Park walk and chat; Board games; Community centre activities,28,114.209426,22.337646
Lee Yiu Tung,Kai Tak Garden,Tea time conversation; Phone and smartphone help; Park walk and chat,26,114.19493,22.334868
Lam Yuk Ting,Kai Tin Estate,Photo sharing and memory talk; Grocery escort; Calligraphy practice,21,114.239677,22.312498
Wong Kwok Him,Kai Tsui Court,Chinese chess; Mahjong companion; Home visit companionship,20,114.24772,22.261567
Ng Chi Ho,Kai Yip Estate,Tea time conversation; Reading aloud; Photo sharing and memory talk; Clinic escort,34,114.215516,22.331421
Chow Tsz Wai,Kam Fung Court,Clinic escort; Board games; Home visit companionship; Photo sharing and memory talk,22,114.222251,22.421844
Ng Sze Wing,Kam Lung Court,Grocery escort; Phone and smartphone help; Tea time conversation,32,114.236673,22.427025
Tang Ho Yin,Kam Tai Court,Board games; Park walk and chat; Calligraphy practice; Chinese chess; Home visit companionship,26,114.22516,22.41597
Ho Man Yi,Kam Ying Court,Old songs karaoke; Board games; Park walk and chat,26,114.240031,22.420228
Yip Ho Yin,Kin Ming Estate,Home visit companionship; Grocery escort; Clinic escort,22,114.251976,22.310466
Chan Man Yi,Kin Sang Estate,Grocery escort; Chinese chess; Board games,26,113.969399,22.409642
Wong Ka Ching,King Lam Estate,Park walk and chat; Home visit companionship; Photo sharing and memory talk,24,114.262471,22.325983
Chow Kwok Him,King Shan Court,Mahjong companion; Tea time conversation; Cooking together,23,114.217415,22.334922
Ho Yuk Ting,King Shing Court,Board games; Clinic escort; Grocery escort; Simple stretching session,21,114.133261,22.48096
Chan Ho Yin,King Tin Court,Phone and smartphone help; Calligraphy practice; Home visit companionship,27,114.171985,22.364079
Ho Yuk Ting,Kingsford Terrace,Chinese chess; Board games; Clinic escort,23,114.211822,22.333184
Ng Ho Yin,Kingston Terrace,Phone and smartphone help; Old songs karaoke; Chinese chess,26,113.97571,22.40768
Chow Sze Wing,Kingswood Villas,Phone and smartphone help; Chinese chess; Old songs karaoke,27,114.00463,22.455707
Chan Pak Hei,Ko Cheung Court,Reading aloud; Phone and smartphone help; Park walk and chat,26,114.235281,22.295802
Ng Wing Sze,Ko Chun Court,Phone and smartphone help; Home visit companionship; Clinic escort; Chinese chess,32,114.148169,22.290903
Ho Tsz Ho,Ko Yee Estate,Photo sharing and memory talk; Community centre activities; Tea time conversation; Board games,24,114.240114,22.290804
Tang Pak Hei,Kornhill,Old songs karaoke; Photo sharing and memory talk; Tea time conversation; Mahjong companion; Chinese chess,27,114.222293,22.281699
Chow Hiu Lam,Kornhill Gardens,Cooking together; Grocery escort; Tea time conversation; Reading aloud,26,114.209405,22.280332
Chan Ka Ching,Kwai Chun Court,Phone and smartphone help; Park walk and chat; Photo sharing and memory talk,28,114.128228,22.367731
Ng Sze Wing,Kwai Chung Estate,Community centre activities; Cooking together; Tea time conversation; Board games,31,114.124573,22.36792
Chan Chi Ho,Kwai Fong Estate,Chinese chess; Photo sharing and memory talk; Park walk and chat; Tea time conversation,23,114.130716,22.352126
Ng Tsz Wai,Kwai Hing Estate,Phone and smartphone help; Photo sharing and memory talk; Old songs karaoke; Home visit companionship; Tea time conversation,25,114.132875,22.365975
Yip Ho Yin,Kwai Luen Estate,Clinic escort; Tea time conversation; Board games; Grocery escort; Old songs karaoke,22,114.117869,22.36876
Ho Yiu Tung,Kwai Shing East Estate,Grocery escort; Park walk and chat; Tea time conversation,22,114.12224,22.364349
Cheung Man Yi,Kwai Shing West Estate,Park walk and chat; Reading aloud; Community centre activities; Cooking together,27,114.125097,22.354265
Leung Ka Ming,Kwong Fuk Estate,Home visit companionship; Tea time conversation; Simple stretching session,25,114.176575,22.44208
Lam Tsz Ho,Kwong Lam Court,Phone and smartphone help; Tea time conversation; Board games,21,114.21061,22.385403
Chan Chi Ho,Kwong Ming Court,Simple stretching session; Phone and smartphone help; Cooking together; Home visit companionship,29,114.25391,22.317985
Lam Yan Ting,Kwong Tin Estate,Grocery escort; Board games; Chinese chess,23,114.232893,22.298869
Ho Tsz Wai,Kwong Yuen Estate,Community centre activities; Clinic escort; Park walk and chat,28,114.210966,22.378744
Ng Ka Ching,Kwun Lung Lau,Photo sharing and memory talk; Park walk and chat; Cooking together,27,114.135153,22.284253
Tang Siu Tung,Kwun Tong Garden Estate,Clinic escort; Grocery escort; Photo sharing and memory talk; Community centre activities,24,114.214794,22.313529
Tang Pak Hei,La Cite Noble,Chinese chess; Grocery escort; Photo sharing and memory talk,24,114.27315,22.318072
Lau Tsz Ho,Laguna City,Home visit companionship; Grocery escort; Community centre activities; Clinic escort,29,114.221523,22.312962
Leung Ka Ching,Laguna Verde,Mahjong companion; Grocery escort; Home visit companionship,28,114.188362,22.300499
Cheung Lok Yin,Lai King Estate,Phone and smartphone help; Community centre activities; Old songs karaoke; Grocery escort,26,114.131623,22.352445
Chow Siu Tung,Lai Kok Estate,Park walk and chat; Grocery escort; Community centre activities,25,114.157772,22.338634
Chow Ho Yin,Lai On Estate,Clinic escort; Home visit companionship; Cooking together; Mahjong companion,21,114.162494,22.332462
Ho Ka Ming,Lai Tak Tsuen,Park walk and chat; Mahjong companion; Photo sharing and memory talk; Simple stretching session,20,114.195354,22.279132
Lau Ka Ching,Lai Tsui Court,Park walk and chat; Mahjong companion; Chinese chess,24,114.149963,22.327797
Lee Ka Ching,Lai Yan Court,Old songs karaoke; Calligraphy practice; Tea time conversation,30,114.142644,22.338353
Tang Wai Man,Lai Yiu Estate,Old songs karaoke; Photo sharing and memory talk; Tea time conversation; Calligraphy practice,26,114.133562,22.359636
Wong Ho Yin,Lake Silver,Mahjong companion; Chinese chess; Phone and smartphone help; Clinic escort; Grocery escort,25,114.241558,22.435496
Lau Ho Yin,Lam Tin Estate,Community centre activities; Cooking together; Mahjong companion; Park walk and chat,28,114.238875,22.314854
Ng Yuk Ting,Lee On Estate,Home visit companionship; Phone and smartphone help; Board games,29,114.245222,22.422838
Ho Ho Yin,Lei Cheng Uk Estate,Tea time conversation; Old songs karaoke; Board games; Clinic escort; Reading aloud,27,114.157888,22.341008
Lam Ho Yin,Lei King Wan,Calligraphy practice; Chinese chess; Community centre activities,30,114.224911,22.278097
Chan Wai Man,Lei Muk Shue (1) Estate,Home visit companionship; Old songs karaoke; Phone and smartphone help,26,114.131229,22.380583
Lau Yan Ting,Lei Muk Shue (2) Estate,Tea time conversation; Old songs karaoke; Reading aloud,22,114.130027,22.376542
Chan Wai Man,Lei Muk Shue Estate,Phone and smartphone help; Photo sharing and memory talk; Clinic escort; Mahjong companion,29,114.13789,22.384802
Wong Wing Sze,Lei On Court,Grocery escort; Clinic escort; Tea time conversation; Home visit companionship,25,114.230077,22.307542
Tang Hiu Lam,Lei Tung Estate,Home visit companionship; Clinic escort; Calligraphy practice,29,114.148274,22.244821
Lam Hiu Lam,Lei Yue Mun Estate,Old songs karaoke; Phone and smartphone help; Home visit companionship; Park walk and chat,20,114.242895,22.297935
Lee Ka Ching,Lek Yuen Estate,Park walk and chat; Tea time conversation; Mahjong companion,31,114.18722,22.380635
Cheung Ka Ming,Leung King Estate,Mahjong companion; Grocery escort; Clinic escort; Home visit companionship; Calligraphy practice,30,113.954257,22.405137
Lam Lok Yin,Liberte,Clinic escort; Reading aloud; Cooking together; Board games; Mahjong companion,27,114.144338,22.333911
Chow Sze Wing,Lido Garden,Park walk and chat; Board games; Community centre activities; Reading aloud,23,114.053563,22.361734
Chan Yan Ting,LOHAS Park - LP6,Old songs karaoke; Park walk and chat; Grocery escort; Clinic escort; Reading aloud,34,114.278191,22.293888
Tang Kwok Him,LOHAS Park - Wings at Sea,Photo sharing and memory talk; Home visit companionship; Phone and smartphone help,31,114.27286,22.290911
Ng Tsz Wai,Lok Fu Estate,Board games; Clinic escort; Simple stretching session,25,114.188544,22.339298
Lam Lok Yin,Lok Hin Terrace,Reading aloud; Photo sharing and memory talk; Chinese chess,30,114.2375,22.26605
